iter	Passed	Remaining
0	9	29304
1	21	32297
2	29	29562
3	39	29653
4	46	27841
5	55	27630
6	62	26726
7	72	27250
8	81	27214
9	89	26722
10	96	26275
11	104	25976
12	111	25547
13	120	25625
14	127	25319
15	136	25532
16	144	25300
17	152	25308
18	159	25084
19	168	25063
20	175	24847
21	184	24985
22	192	24893
23	201	25039
24	209	24889
25	219	25056
26	226	24917
27	234	24868
28	241	24755
29	251	24896
30	260	24931
31	267	24831
32	275	24783
33	283	24713
34	290	24600
35	299	24653
36	306	24544
37	314	24545
38	321	24446
39	331	24525
40	338	24440
41	350	24658
42	359	24700
43	367	24672
44	376	24699
45	383	24598
46	391	24591
47	398	24515
48	407	24562
49	415	24486
50	423	24498
51	432	24506
52	441	24563
53	449	24512
54	458	24531
55	465	24484
56	475	24537
57	482	24469
58	491	24521
59	500	24504
60	509	24538
61	516	24498
62	525	24504
63	532	24437
64	541	24452
65	548	24376
66	557	24423
67	565	24375
68	573	24373
69	580	24303
70	589	24327
71	596	24266
72	605	24272
73	612	24219
74	620	24217
75	627	24156
76	636	24179
77	645	24168
78	654	24182
79	661	24132
80	670	24156
81	677	24105
82	686	24116
83	693	24090
84	703	24130
85	711	24099
86	720	24135
87	727	24089
88	736	24102
89	743	24053
90	753	24075
91	760	24027
92	769	24052
93	776	24015
94	786	24049
95	794	24030
96	802	24018
97	809	23975
98	818	23973
99	825	23931
100	833	23926
101	840	23892
102	850	23914
103	865	24100
104	881	24314
105	896	24487
106	911	24657
107	929	24886
108	947	25122
109	963	25310
110	980	25520
111	995	25677
112	1011	25848
113	1027	26017
114	1040	26110
115	1054	26217
116	1068	26337
117	1087	26550
118	1102	26691
119	1116	26804
120	1131	26921
121	1142	26951
122	1152	26959
123	1163	26988
124	1180	27157
125	1199	27359
126	1220	27616
127	1247	28001
128	1259	28040
129	1270	28038
130	1283	28109
131	1296	28168
132	1306	28166
133	1317	28174
134	1330	28241
135	1344	28305
136	1356	28338
137	1367	28353
138	1380	28419
139	1394	28494
140	1405	28490
141	1415	28481
142	1428	28530
143	1439	28551
144	1449	28537
145	1461	28569
146	1473	28591
147	1481	28553
148	1492	28554
149	1501	28530
150	1512	28530
151	1521	28514
152	1529	28467
153	1540	28478
154	1548	28423
155	1559	28426
156	1571	28453
157	1580	28433
158	1593	28473
159	1604	28477
160	1612	28427
161	1623	28442
162	1635	28462
163	1644	28440
164	1658	28488
165	1668	28492
166	1676	28443
167	1687	28451
168	1699	28469
169	1711	28491
170	1722	28499
171	1734	28513
172	1742	28475
173	1752	28465
174	1759	28409
175	1770	28403
176	1777	28348
177	1787	28340
178	1796	28316
179	1805	28278
180	1814	28252
181	1821	28202
182	1831	28187
183	1840	28169
184	1853	28203
185	1864	28202
186	1875	28207
187	1887	28233
188	1924	28625
189	1953	28886
190	1973	29028
191	1984	29026
192	1996	29043
193	2007	29040
194	2023	29109
195	2038	29166
196	2052	29210
197	2066	29245
198	2079	29263
199	2088	29244
200	2101	29264
201	2114	29285
202	2128	29331
203	2142	29358
204	2151	29334
205	2162	29328
206	2175	29354
207	2186	29350
208	2198	29358
209	2209	29359
210	2220	29346
211	2232	29365
212	2244	29369
213	2254	29354
214	2265	29346
215	2276	29336
216	2285	29309
217	2296	29308
218	2308	29311
219	2321	29333
220	2333	29338
221	2347	29378
222	2359	29384
223	2370	29377
224	2380	29360
225	2391	29357
226	2403	29360
227	2413	29341
228	2425	29348
229	2437	29353
230	2447	29334
231	2461	29369
232	2473	29377
233	2485	29379
234	2495	29362
235	2507	29367
236	2518	29359
237	2527	29332
238	2538	29322
239	2547	29300
240	2557	29284
241	2567	29264
242	2577	29245
243	2588	29239
244	2599	29227
245	2607	29196
246	2617	29176
247	2626	29141
248	2636	29124
249	2644	29085
250	2655	29079
251	2664	29052
252	2673	29031
253	2683	29016
254	2692	28985
255	2703	28976
256	2713	28964
257	2724	28954
258	2735	28954
259	2747	28949
260	2757	28937
261	2767	28925
262	2778	28911
263	2785	28869
264	2795	28849
265	2803	28816
266	2814	28804
267	2825	28798
268	2836	28795
269	2847	28796
270	2859	28797
271	2871	28803
272	2883	28804
273	2894	28794
274	2903	28771
275	2915	28777
276	2931	28816
277	2943	28818
278	2954	28811
279	2968	28837
280	2985	28891
281	3002	28942
282	3024	29039
283	3045	29129
284	3063	29179
285	3081	29243
286	3099	29296
287	3113	29319
288	3129	29358
289	3143	29371
290	3159	29411
291	3170	29402
292	3181	29391
293	3194	29402
294	3205	29396
295	3215	29371
296	3227	29375
297	3239	29369
298	3247	29339
299	3264	29384
300	3286	29471
301	3308	29554
302	3324	29595
303	3341	29636
304	3358	29674
305	3375	29719
306	3392	29758
307	3413	29833
308	3429	29868
309	3445	29901
310	3463	29950
311	3479	29975
312	3496	30017
313	3513	30051
314	3525	30052
315	3541	30080
316	3560	30132
317	3578	30178
318	3590	30174
319	3600	30154
320	3608	30115
321	3619	30100
322	3627	30065
323	3636	30036
324	3644	29999
325	3654	29976
326	3664	29952
327	3672	29913
328	3681	29886
329	3689	29848
330	3699	29829
331	3708	29805
332	3719	29786
333	3727	29749
334	3736	29726
335	3746	29704
336	3754	29670
337	3764	29646
338	3771	29607
339	3781	29583
340	3788	29544
341	3798	29523
342	3806	29485
343	3815	29460
344	3823	29422
345	3833	29405
346	3841	29369
347	3851	29352
348	3861	29328
349	3869	29297
350	3879	29278
351	3887	29244
352	3897	29224
353	3905	29191
354	3914	29169
355	3924	29150
356	3933	29120
357	3944	29106
358	3953	29082
359	3966	29084
